Period,01/01/1990 to most recently available
Year,1990 to most recently available
Activity,"Exports, Imports"
"Source, Exports","Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Québec, Saskatchewan, Total"
"Destination, Exports","Alaska, Arizona, California, Colorado, Connecticut, Idaho, Illinois, Indiana, Iowa, Kansas, Maine, Maryland, Massachusetts, Michigan, Minn / N. Dakota, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New England-ISO, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oregon, Pennsylvania, Pennsylvania Jersey Maryland Power Pool, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Wisconsin, Wyoming, Total "
"Source, Imports","Arizona, California, Colorado, Connecticut, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Massachusetts, Michigan, Minn / N. Dakota, Minnesota, Missouri, Montana, Nebraska, Nevada, New England-ISO, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Pennsylvania Jersey Maryland Power Pool, South Dakota, Texas, Utah, Vermont, Washington, Wisconsin, Wyoming, Total"
"Destination, Imports","Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Québec, Saskatchewan, Total"
Energy (MW.h),Volumes of electricity exports / imports in megawatt hours
Total Value (CAN$),Total value of electricity exports / imports in Canadian dollars
Price (CAN$/MW.h),Average price of electricity exports / imports in Canadian dollars per megawatt hour
Confidential,Confidentiality rules have been applied to this report.  Some data is considered confidential and cannot be released.
